금칙어,"적용 위치
※ 제목 - 상품을 번역 하기전 해당 금칙어와 제목으로 비교하여 금칙어가 포함될경우, 해당 상품을 수집하지 않습니다.
※ 옵션 - 번역 이후 해당 금칙어와 옵션명을 비교하여 금칙어가 포함될 경우, 해당 상품의 체크를 풀어 전송되지 않도록 합니다."
cadero golf grip,제목
카데로 골프그립,옵션
cadero,제목
카데로,옵션
CADERO,제목
카데로,옵션
homniz circulator,제목
홈니즈 써큘레이터,옵션
homniz,제목
홈니즈,옵션
HOMENIZ,제목
홈니즈,옵션
power leg,제목
파워레그,옵션
POWERLEG,제목
파워레그,옵션
TITLIST,제목
타이틀리스트,옵션
titlist,제목
타이틀리스트,옵션
viska mini grill,제목
비스카 미니 그릴,옵션
viskaminigrill,제목
비스카미니그릴,옵션
VISKA,제목
비스카,옵션
 faint topper ,제목
기절 토퍼,옵션
LOUIS VUITTON,제목
루이비통,옵션
hailyhills,제목
하일리힐즈,옵션
Haily Hill's,제목
하일리힐즈,옵션
hail hill's,제목
하일리힐즈,옵션
HAILYHILLS,제목
하일리힐즈,옵션
pokemon doll,제목
포켓몬스터 인형,옵션
POKEMON,제목
포켓몬,옵션
JESTINA,제목
제이에스티나,옵션
jestina,제목
제이에스티나,옵션
맞춤 에어컨 실외기 커버,제목
맞춤 에어컨 실외기 커버,옵션
FAYEWOO,제목
페이우,옵션
 Shin Chan,제목
짱구,옵션
shin chan,제목
짱구,옵션
회전식 전광판,제목
회전식 전광판,옵션
DINOTAENG,제목
다이노탱,옵션
dinotaeng,제목
다이노탱,옵션
BARMANAGE,제목
바매니져,옵션
DAISO,제목
다이소,옵션
daiso,제목
다이소,옵션
영이의숲,제목
영이의숲,옵션
daiso,제목
daiso,옵션
forest of english,제목
영이의숲,옵션
fainting pillow,제목
기절배개,옵션
lets-slim,제목
렛츠슬림,옵션
letsslim,제목
렛츠슬림,옵션
EENK,제목
이엔케이,옵션
PURENANA QUOKKA,제목
퓨어나나 쿼카,옵션
PURENANA,제목
퓨어나나,옵션
purenana,제목
퓨어나나,옵션
battang,제목
바엔땅,옵션
ba-ttang,제목
바엔땅,옵션
daiwa,제목
다이와,옵션
DAIWA,제목
다이와,옵션
보양,제목
보양,옵션
博洋,제목
decathlon,제목
데카트론,옵션
Decathlon,제목
데카트론,옵션
Naturehike,제목
네이처하이크,옵션
naturehike,제목
네이처하이크,옵션
modoogreen,제목
모두그린,옵션
빵덕이,제목
빵덕이,옵션
stuffed duck,제목
봉제오리,옵션
child,제목
어린이,옵션
kids,제목
아이,옵션
brand,제목
브랜드,옵션
 quokka ipod case,제목
쿼카 아이팟케이스,옵션
quokka,제목
쿼카,옵션
quokka pouch,제목
쿼카 파우치,옵션
shin chan food tray,제목
짱구식판,옵션
Disney,제목
디즈니,옵션
disney,제목
디즈니,옵션
Mickey Mouse,제목
미키마우스,옵션
mickeymouse,제목
미키마우스,옵션
뒷자석 낚시걸이,제목
뒷자석 낚시걸이,옵션
Arneu,제목
아르뉴,옵션
arneu,제목
아르뉴,옵션
편광렌즈,제목
편광렌즈,옵션
바디캠,제목
바디캠,옵션
초소형캠,제목
초소형캠,옵션
몰래카메라,제목
몰래카메라,옵션
로리타,제목
로리타,옵션
비비안웨스트우드,제목
비비안웨스트우드,옵션
피스마이너스원,제목
피스마이너스원,옵션
포니만두,제목
포니만두,옵션
미스터에이치,제목
미스터에이치,옵션
,
,
